id_venda;id_cliente;id_produto;valor;data_venda;vendedor;estado;cidade
190;10190;5;172.59;22/04/2025;Vendedor_10;GO;Anápolis
191;10191;5;155.95;25/05/2025;Vendedor_18;RS;Pelotas
192;10192;5;288.9;06/04/2025;Vendedor_49;RJ;Rio de Janeiro
193;10193;5;98.78;02/04/2025;Vendedor_15;PE;Recife
194;10194;4;84.4;29/07/2025;Vendedor_21;DF;Brasília
195;10195;4;266.6;06/08/2025;Vendedor_48;BA;Vitória da Conquista
196;10196;4;130.59;16/05/2025;Vendedor_12;CE;Sobral
197;10197;6;92.98;30/03/2025;Vendedor_14;BA;Vitória da Conquista
198;10198;5;119.5;07/04/2025;Vendedor_34;RS;Porto Alegre
199;10199;5;122.91;31/08/2025;Vendedor_22;DF;Brasília
200;10200;6;194.83;09/08/2025;Vendedor_25;CE;Fortaleza
201;10201;6;84.16;14/06/2025;Vendedor_33;GO;Anápolis
202;10202;5;126.24;20/01/2025;Vendedor_36;GO;Aparecida de Goiânia
203;10203;1;154.11;20/05/2025;Vendedor_1;MG;Belo Horizonte
204;10204;4;135.97;18/04/2025;Vendedor_6;PR;Maringá
205;10205;6;241.76;03/02/2025;Vendedor_20;DF;Brasília
206;10206;4;83.34;27/05/2025;Vendedor_6;SP;Santos
207;10207;3;201.39;06/03/2025;Vendedor_27;PR;Londrina
208;10208;3;208.7;26/04/2025;Vendedor_11;CE;Juazeiro do Norte
209;10209;4;228.09;20/05/2025;Vendedor_24;SP;São Paulo
210;10210;3;260.38;14/04/2025;Vendedor_45;DF;Brasília
211;10211;1;176.14;06/07/2025;Vendedor_41;SP;Campinas
212;10212;6;93.49;26/07/2025;Vendedor_20;PR;Curitiba
213;10213;2;190.4;06/04/2025;Vendedor_23;SP;Santos
214;10214;4;242.71;16/06/2025;Vendedor_5;PR;Curitiba
215;10215;6;101.26;05/02/2025;Vendedor_49;RJ;Niterói
216;10216;6;249.69;11/04/2025;Vendedor_31;RJ;Rio de Janeiro
217;10217;5;114.14;27/04/2025;Vendedor_3;GO;Aparecida de Goiânia
218;10218;6;267.34;02/04/2025;Vendedor_31;PR;Maringá
219;10219;1;86.64;14/06/2025;Vendedor_29;BA;Vitória da Conquista
220;10220;3;174.92;05/06/2025;Vendedor_34;RS;Porto Alegre
221;10221;1;123.79;02/02/2025;Vendedor_31;GO;Aparecida de Goiânia
222;10222;6;190.51;01/04/2025;Vendedor_13;GO;Anápolis
223;10223;1;221.44;21/06/2025;Vendedor_44;GO;Goiânia
224;10224;4;213.44;23/01/2025;Vendedor_47;PE;Recife
225;10225;1;220.19;29/06/2025;Vendedor_46;RJ;Volta Redonda
226;10226;1;294.74;18/04/2025;Vendedor_23;RJ;Niterói
227;10227;3;139.61;30/06/2025;Vendedor_11;PR;Curitiba
228;10228;1;102.77;06/05/2025;Vendedor_25;MG;Belo Horizonte
229;10229;2;265.78;13/08/2025;Vendedor_30;GO;Goiânia
230;10230;2;293.58;14/03/2025;Vendedor_17;PR;Maringá
231;10231;1;205.68;26/01/2025;Vendedor_48;MG;Uberlândia
232;10232;3;286.86;24/02/2025;Vendedor_21;PE;Recife
233;10233;3;268.31;06/03/2025;Vendedor_2;MG;Uberlândia
234;10234;6;266.41;22/04/2025;Vendedor_16;SP;Santos
235;10235;4;276.41;30/08/2025;Vendedor_22;DF;Brasília
236;10236;6;211.78;09/02/2025;Vendedor_17;PE;Petrolina
237;10237;2;138.57;01/04/2025;Vendedor_41;MG;Uberlândia
238;10238;5;87.54;01/06/2025;Vendedor_35;BA;Feira de Santana
239;10239;6;206.0;05/03/2025;Vendedor_2;CE;Sobral
240;10240;5;292.37;11/06/2025;Vendedor_25;PR;Londrina
241;10241;2;147.12;31/05/2025;Vendedor_26;RJ;Niterói
242;10242;2;222.78;22/08/2025;Vendedor_44;RJ;Rio de Janeiro
243;10243;3;122.08;10/07/2025;Vendedor_31;MG;Uberlândia
244;10244;2;89.91;13/08/2025;Vendedor_33;CE;Sobral
245;10245;6;135.64;02/08/2025;Vendedor_18;DF;Brasília
246;10246;3;254.39;26/05/2025;Vendedor_50;DF;Brasília
247;10247;6;290.81;04/07/2025;Vendedor_49;GO;Aparecida de Goiânia
248;10248;3;130.23;22/01/2025;Vendedor_24;DF;Brasília
249;10249;5;173.22;17/03/2025;Vendedor_14;DF;Brasília
250;10250;4;112.24;29/08/2025;Vendedor_24;CE;Sobral
251;10251;2;257.35;04/01/2025;Vendedor_43;GO;Anápolis
252;10252;4;185.69;06/01/2025;Vendedor_40;MG;Uberlândia
253;10253;1;256.28;02/01/2025;Vendedor_5;PE;Recife
254;10254;5;241.04;18/05/2025;Vendedor_26;CE;Fortaleza
255;10255;2;170.81;28/03/2025;Vendedor_2;DF;Brasília
256;10256;6;142.78;11/02/2025;Vendedor_12;DF;Brasília
257;10257;2;91.71;22/02/2025;Vendedor_35;MG;Uberlândia
258;10258;4;288.1;24/03/2025;Vendedor_43;RS;Caxias do Sul
259;10259;1;115.68;04/08/2025;Vendedor_35;DF;Brasília
260;10260;3;99.83;27/03/2025;Vendedor_29;MG;Uberlândia
261;10261;4;234.86;25/07/2025;Vendedor_32;GO;Goiânia
262;10262;5;221.46;18/06/2025;Vendedor_30;PE;Petrolina
263;10263;1;215.37;28/06/2025;Vendedor_16;SP;Santos
264;10264;4;284.11;31/03/2025;Vendedor_38;DF;Brasília
265;10265;2;282.08;27/03/2025;Vendedor_2;GO;Goiânia
266;10266;4;238.63;23/01/2025;Vendedor_49;SP;Campinas
267;10267;5;155.58;06/03/2025;Vendedor_46;BA;Feira de Santana
268;10268;5;95.98;19/08/2025;Vendedor_18;BA;Salvador
269;10269;5;255.48;07/04/2025;Vendedor_9;PR;Maringá
270;10270;4;181.91;31/03/2025;Vendedor_1;PE;Recife
271;10271;5;238.03;07/08/2025;Vendedor_22;MG;Juiz de Fora
272;10272;6;151.69;21/02/2025;Vendedor_21;SP;São Paulo
273;10273;3;91.8;28/06/2025;Vendedor_18;SP;São Paulo
274;10274;5;151.66;09/06/2025;Vendedor_27;BA;Vitória da Conquista
275;10275;1;97.31;25/02/2025;Vendedor_44;RS;Caxias do Sul
276;10276;2;218.4;04/02/2025;Vendedor_17;PR;Curitiba
277;10277;4;179.39;04/08/2025;Vendedor_10;SP;São Paulo
278;10278;4;247.11;23/07/2025;Vendedor_31;PR;Londrina
279;10279;5;160.29;12/01/2025;Vendedor_26;PE;Petrolina
280;10280;4;240.47;13/06/2025;Vendedor_4;CE;Fortaleza
281;10281;4;148.06;27/02/2025;Vendedor_16;PR;Londrina
282;10282;1;167.61;11/03/2025;Vendedor_11;GO;Anápolis
283;10283;4;157.39;17/06/2025;Vendedor_1;SP;Campinas
284;10284;2;116.35;22/06/2025;Vendedor_35;SP;Santos
285;10285;4;159.89;11/02/2025;Vendedor_15;PR;Curitiba
286;10286;1;202.9;01/02/2025;Vendedor_32;PR;Curitiba
287;10287;6;126.35;29/03/2025;Vendedor_45;BA;Feira de Santana
288;10288;3;225.33;08/07/2025;Vendedor_10;PE;Olinda
289;10289;3;107.15;17/06/2025;Vendedor_6;DF;Brasília
290;10290;4;177.24;23/08/2025;Vendedor_23;RJ;Niterói
291;10291;1;106.44;01/04/2025;Vendedor_26;SP;Santos
292;10292;3;215.01;14/07/2025;Vendedor_5;RS;Porto Alegre
293;10293;1;184.61;01/07/2025;Vendedor_24;GO;Anápolis
294;10294;3;259.37;12/08/2025;Vendedor_13;BA;Salvador
295;10295;6;171.85;30/04/2025;Vendedor_14;RS;Pelotas
296;10296;1;198.05;24/01/2025;Vendedor_19;MG;Juiz de Fora
297;10297;4;229.59;18/07/2025;Vendedor_2;BA;Feira de Santana
298;10298;3;83.6;06/04/2025;Vendedor_46;GO;Goiânia
299;10299;5;283.69;02/04/2025;Vendedor_49;PR;Londrina
300;10300;4;199.03;28/04/2025;Vendedor_26;SP;São Paulo
301;10301;4;293.38;30/04/2025;Vendedor_43;RS;Porto Alegre
302;10302;1;107.07;20/07/2025;Vendedor_31;RS;Caxias do Sul
303;10303;4;158.46;14/03/2025;Vendedor_31;CE;Sobral
304;10304;3;104.06;09/03/2025;Vendedor_20;SP;São Paulo
305;10305;4;164.67;15/06/2025;Vendedor_27;GO;Goiânia
306;10306;4;99.49;05/02/2025;Vendedor_40;BA;Feira de Santana
307;10307;6;118.67;03/01/2025;Vendedor_19;PR;Curitiba
308;10308;1;104.72;09/08/2025;Vendedor_28;RJ;Niterói
309;10309;4;207.72;15/05/2025;Vendedor_43;GO;Anápolis
310;10310;2;210.14;10/02/2025;Vendedor_46;RJ;Volta Redonda
311;10311;2;238.25;12/03/2025;Vendedor_14;PE;Olinda
312;10312;3;234.69;15/03/2025;Vendedor_41;SP;Santos
313;10313;1;242.41;04/01/2025;Vendedor_6;PR;Curitiba
314;10314;3;281.05;31/03/2025;Vendedor_12;GO;Anápolis
315;10315;4;117.43;04/03/2025;Vendedor_7;BA;Feira de Santana
316;10316;1;266.9;09/03/2025;Vendedor_16;CE;Fortaleza
317;10317;5;270.54;02/06/2025;Vendedor_39;CE;Fortaleza
318;10318;1;179.75;24/07/2025;Vendedor_19;BA;Salvador
319;10319;4;105.59;01/07/2025;Vendedor_35;PE;Recife
320;10320;2;92.51;30/03/2025;Vendedor_31;CE;Juazeiro do Norte
321;10321;4;220.68;07/08/2025;Vendedor_38;SP;Santos
322;10322;2;190.36;13/07/2025;Vendedor_8;CE;Sobral
323;10323;1;249.8;04/06/2025;Vendedor_42;RS;Pelotas
324;10324;4;262.12;07/03/2025;Vendedor_46;CE;Fortaleza
325;10325;3;98.25;19/08/2025;Vendedor_10;BA;Salvador
326;10326;1;150.44;19/03/2025;Vendedor_17;CE;Fortaleza
327;10327;4;173.42;10/02/2025;Vendedor_38;RJ;Volta Redonda
328;10328;6;180.8;29/04/2025;Vendedor_30;SP;São Paulo
329;10329;1;85.3;24/08/2025;Vendedor_20;CE;Juazeiro do Norte
330;10330;1;169.29;08/04/2025;Vendedor_37;SP;Santos
331;10331;6;158.69;22/01/2025;Vendedor_27;GO;Anápolis
332;10332;4;90.86;09/04/2025;Vendedor_28;BA;Salvador
333;10333;6;127.94;29/07/2025;Vendedor_46;CE;Fortaleza
334;10334;1;228.48;29/07/2025;Vendedor_2;CE;Fortaleza
335;10335;5;153.56;11/03/2025;Vendedor_24;PR;Maringá
336;10336;4;256.27;14/01/2025;Vendedor_47;SP;Campinas
337;10337;5;129.12;14/02/2025;Vendedor_31;SP;Campinas
338;10338;2;191.42;23/02/2025;Vendedor_2;PR;Maringá
339;10339;1;259.75;12/03/2025;Vendedor_28;PE;Petrolina
340;10340;2;186.38;31/03/2025;Vendedor_37;PE;Olinda
341;10341;2;299.75;29/04/2025;Vendedor_32;GO;Aparecida de Goiânia
342;10342;2;197.9;03/06/2025;Vendedor_7;MG;Juiz de Fora
343;10343;1;123.94;11/02/2025;Vendedor_10;GO;Aparecida de Goiânia
344;10344;2;242.31;21/01/2025;Vendedor_4;GO;Goiânia
345;10345;6;212.56;20/01/2025;Vendedor_19;DF;Brasília
346;10346;6;217.17;03/03/2025;Vendedor_13;GO;Goiânia
347;10347;2;157.48;09/07/2025;Vendedor_31;PR;Curitiba
348;10348;6;137.99;16/07/2025;Vendedor_36;GO;Anápolis
349;10349;4;127.19;10/05/2025;Vendedor_31;PR;Maringá
350;10350;2;96.84;08/07/2025;Vendedor_23;MG;Belo Horizonte
351;10351;6;154.01;02/02/2025;Vendedor_31;DF;Brasília
352;10352;3;97.05;02/06/2025;Vendedor_16;PE;Olinda
353;10353;1;175.37;29/05/2025;Vendedor_22;SP;São Paulo
354;10354;4;125.19;04/02/2025;Vendedor_9;RJ;Niterói
355;10355;5;245.78;19/06/2025;Vendedor_21;RS;Pelotas
356;10356;3;160.15;11/07/2025;Vendedor_50;SP;Santos
357;10357;6;203.39;15/03/2025;Vendedor_1;RJ;Volta Redonda
358;10358;6;250.51;15/03/2025;Vendedor_46;PE;Recife
359;10359;5;151.98;23/06/2025;Vendedor_15;PE;Olinda
360;10360;3;143.7;25/05/2025;Vendedor_7;CE;Sobral
361;10361;4;102.82;04/03/2025;Vendedor_46;CE;Juazeiro do Norte
362;10362;3;84.08;05/02/2025;Vendedor_27;DF;Brasília
363;10363;1;200.21;24/04/2025;Vendedor_33;RS;Caxias do Sul
364;10364;1;204.26;28/03/2025;Vendedor_18;PR;Londrina
365;10365;1;164.07;10/02/2025;Vendedor_6;PE;Petrolina
366;10366;3;150.42;08/01/2025;Vendedor_24;DF;Brasília
367;10367;4;293.87;02/07/2025;Vendedor_26;RJ;Volta Redonda
368;10368;6;96.1;09/07/2025;Vendedor_8;RS;Pelotas
369;10369;2;122.59;13/03/2025;Vendedor_40;RJ;Volta Redonda
370;10370;4;245.95;07/06/2025;Vendedor_7;PR;Maringá
371;10371;4;126.45;03/06/2025;Vendedor_34;PE;Petrolina
372;10372;5;236.49;05/01/2025;Vendedor_30;PR;Maringá
373;10373;6;286.25;20/05/2025;Vendedor_21;PE;Petrolina
374;10374;4;239.12;13/08/2025;Vendedor_12;MG;Belo Horizonte
375;10375;2;256.82;03/08/2025;Vendedor_15;MG;Uberlândia
376;10376;3;253.21;16/02/2025;Vendedor_20;CE;Juazeiro do Norte
377;10377;3;168.74;04/06/2025;Vendedor_34;RS;Porto Alegre
378;10378;2;114.67;15/01/2025;Vendedor_44;RS;Pelotas
379;10379;3;125.63;26/06/2025;Vendedor_12;MG;Juiz de Fora
380;10380;1;285.41;22/03/2025;Vendedor_6;RJ;Rio de Janeiro
381;10381;3;97.54;10/04/2025;Vendedor_41;PE;Olinda
382;10382;1;162.37;17/03/2025;Vendedor_35;MG;Belo Horizonte
383;10383;2;217.48;15/02/2025;Vendedor_28;RS;Pelotas
384;10384;2;118.18;22/04/2025;Vendedor_25;MG;Uberlândia
385;10385;4;110.28;26/06/2025;Vendedor_39;PR;Curitiba
386;10386;3;216.0;24/08/2025;Vendedor_5;RS;Caxias do Sul
387;10387;5;271.81;04/05/2025;Vendedor_24;PR;Maringá
388;10388;6;282.33;21/05/2025;Vendedor_29;SP;Santos
389;10389;3;230.52;02/02/2025;Vendedor_29;RS;Pelotas
390;10390;4;237.23;29/08/2025;Vendedor_12;BA;Salvador
391;10391;3;286.32;10/02/2025;Vendedor_8;DF;Brasília
