id_cliente;nome_cliente;estado;cidade;regiao;segmento;data_entrada;plano;valor;status;idade;genero;renda_estimada;vendedor;data_cancelamento
53;Cliente_53;BA;Vitória da Conquista;Centro-Oeste;Residencial;30/05/2023;Fibra 300MB;89.9;Ativo;36;Masculino;10282;Vendedor_13;
54;Cliente_54;RJ;Rio de Janeiro;Sul;Governo;24/05/2022;Fibra 600MB;119.9;Cancelado;72;Masculino;4512;Vendedor_36;12/08/2024
55;Cliente_55;PR;Londrina;Nordeste;Residencial;18/09/2024;Móvel Controle;49.9;Cancelado;39;Masculino;15937;Vendedor_1;
56;Cliente_56;BA;Salvador;Nordeste;Residencial;19/03/2024;TV + Fibra;199.9;Cancelado;41;Masculino;3014;Vendedor_33;
57;Cliente_57;RJ;Niterói;Centro-Oeste;Residencial;21/10/2022;Fibra 600MB;119.9;Ativo;43;Feminino;18655;Vendedor_4;
58;Cliente_58;CE;Juazeiro do Norte;Norte;Residencial;21/11/2022;Fibra 600MB;119.9;Ativo;22;Feminino;8108;Vendedor_2;
59;Cliente_59;CE;Juazeiro do Norte;Norte;Residencial;12/07/2022;Fibra 600MB;119.9;Ativo;33;Masculino;12951;Vendedor_8;
60;Cliente_60;GO;Aparecida de Goiânia;Nordeste;Residencial;05/04/2023;Fibra 300MB;89.9;Ativo;54;Masculino;16585;Vendedor_16;
61;Cliente_61;BA;Salvador;Centro-Oeste;Empresarial;07/12/2024;TV + Fibra;199.9;Ativo;51;Masculino;4607;Vendedor_22;
62;Cliente_62;CE;Fortaleza;Nordeste;Residencial;10/06/2023;Fibra 600MB;119.9;Ativo;55;Masculino;4937;Vendedor_10;
63;Cliente_63;RJ;Niterói;Norte;Residencial;07/07/2024;Fibra 1GB;159.9;Ativo;45;Masculino;18196;Vendedor_9;
64;Cliente_64;GO;Goiânia;Sul;Empresarial;29/01/2022;Móvel Controle;49.9;Cancelado;29;Masculino;2373;Vendedor_7;18/01/2023
65;Cliente_65;RJ;Volta Redonda;Norte;Governo;22/06/2023;TV + Fibra;199.9;Ativo;62;Masculino;16338;Vendedor_40;
66;Cliente_66;GO;Goiânia;Sul;Residencial;23/05/2022;Móvel Controle;49.9;Ativo;62;Feminino;14664;Vendedor_17;
67;Cliente_67;BA;Feira de Santana;Sudeste;Empresarial;19/09/2023;TV + Fibra;199.9;Ativo;38;Outro;8617;Vendedor_30;
68;Cliente_68;PR;Maringá;Centro-Oeste;Residencial;20/04/2024;Fibra 600MB;119.9;Cancelado;49;Feminino;9781;Vendedor_11;
69;Cliente_69;RS;Pelotas;Sudeste;Residencial;06/08/2022;TV + Fibra;199.9;Ativo;42;Feminino;3854;Vendedor_43;
70;Cliente_70;DF;Brasília;Norte;Empresarial;16/08/2023;Fibra 300MB;89.9;Ativo;31;Masculino;18479;Vendedor_15;
71;Cliente_71;PR;Londrina;Centro-Oeste;Empresarial;14/12/2023;TV + Fibra;199.9;Ativo;68;Feminino;9797;Vendedor_7;
72;Cliente_72;PE;Recife;Norte;Empresarial;08/03/2022;Móvel Pós;89.9;Ativo;64;Masculino;19527;Vendedor_3;
73;Cliente_73;RJ;Niterói;Centro-Oeste;Empresarial;31/01/2024;Móvel Pós;89.9;Ativo;70;Outro;12643;Vendedor_23;
74;Cliente_74;PE;Recife;Centro-Oeste;Residencial;24/05/2022;Fibra 300MB;89.9;Ativo;52;Feminino;13643;Vendedor_27;
75;Cliente_75;PR;Curitiba;Norte;Residencial;10/04/2023;Fibra 600MB;119.9;Ativo;26;Masculino;15466;Vendedor_30;
76;Cliente_76;GO;Aparecida de Goiânia;Norte;Residencial;06/04/2022;Fibra 600MB;119.9;Ativo;74;Feminino;16924;Vendedor_48;
77;Cliente_77;DF;Brasília;Centro-Oeste;Residencial;12/02/2023;Fibra 1GB;159.9;Ativo;47;Masculino;18661;Vendedor_16;
78;Cliente_78;DF;Brasília;Centro-Oeste;Residencial;14/03/2024;Móvel Pós;89.9;Ativo;59;Masculino;12339;Vendedor_14;
79;Cliente_79;SP;Campinas;Norte;Residencial;27/01/2024;Móvel Pós;89.9;Ativo;46;Feminino;16170;Vendedor_22;
80;Cliente_80;DF;Brasília;Norte;Empresarial;14/12/2023;Móvel Controle;49.9;Ativo;56;Masculino;18353;Vendedor_50;
81;Cliente_81;RS;Pelotas;Nordeste;Empresarial;05/10/2022;Fibra 600MB;119.9;Cancelado;48;Feminino;6643;Vendedor_20;
82;Cliente_82;DF;Brasília;Nordeste;Residencial;27/12/2022;Fibra 300MB;89.9;Ativo;31;Masculino;6565;Vendedor_10;
83;Cliente_83;PR;Londrina;Nordeste;Residencial;31/07/2022;Fibra 600MB;119.9;Ativo;34;Masculino;11378;Vendedor_29;
84;Cliente_84;SP;Campinas;Sudeste;Empresarial;17/02/2024;Fibra 600MB;119.9;Ativo;42;Feminino;11040;Vendedor_4;
85;Cliente_85;PR;Maringá;Centro-Oeste;Residencial;21/01/2022;Fibra 1GB;159.9;Ativo;63;Feminino;12540;Vendedor_31;
86;Cliente_86;PR;Londrina;Sul;Governo;30/12/2023;TV + Fibra;199.9;Ativo;74;Masculino;7679;Vendedor_14;
87;Cliente_87;MG;Uberlândia;Sudeste;Residencial;08/09/2023;TV + Fibra;199.9;Ativo;59;Masculino;5173;Vendedor_5;
88;Cliente_88;SP;São Paulo;Centro-Oeste;Residencial;06/01/2023;Fibra 300MB;89.9;Ativo;54;Feminino;2845;Vendedor_38;
89;Cliente_89;PR;Londrina;Sul;Empresarial;16/09/2023;Fibra 1GB;159.9;Cancelado;44;Feminino;9466;Vendedor_4;09/12/2024
90;Cliente_90;MG;Uberlândia;Nordeste;Empresarial;24/09/2023;Fibra 1GB;159.9;Ativo;35;Masculino;8003;Vendedor_11;
91;Cliente_91;MG;Juiz de Fora;Sul;Residencial;31/01/2024;Fibra 1GB;159.9;Ativo;46;Feminino;12954;Vendedor_25;
92;Cliente_92;SP;Santos;Norte;Residencial;26/04/2024;TV + Fibra;199.9;Ativo;66;Feminino;2696;Vendedor_12;
93;Cliente_93;PE;Olinda;Norte;Empresarial;05/08/2024;Fibra 1GB;159.9;Ativo;35;Masculino;17454;Vendedor_31;
94;Cliente_94;GO;Goiânia;Centro-Oeste;Residencial;07/07/2022;Fibra 600MB;119.9;Ativo;21;Masculino;18349;Vendedor_11;
95;Cliente_95;RS;Porto Alegre;Sudeste;Empresarial;16/05/2023;TV + Fibra;199.9;Ativo;37;Masculino;11550;Vendedor_39;
96;Cliente_96;GO;Aparecida de Goiânia;Nordeste;Residencial;25/05/2024;TV + Fibra;199.9;Ativo;18;Feminino;5794;Vendedor_32;
97;Cliente_97;DF;Brasília;Centro-Oeste;Residencial;10/01/2023;Móvel Controle;49.9;Ativo;62;Feminino;12594;Vendedor_11;
98;Cliente_98;RS;Caxias do Sul;Nordeste;Residencial;10/03/2023;Fibra 600MB;119.9;Ativo;41;Feminino;11868;Vendedor_7;
99;Cliente_99;DF;Brasília;Norte;Residencial;14/05/2023;Fibra 1GB;159.9;Ativo;59;Feminino;5410;Vendedor_2;
100;Cliente_100;PR;Londrina;Sudeste;Residencial;06/01/2022;Fibra 1GB;159.9;Ativo;64;Feminino;18899;Vendedor_1;
101;Cliente_101;RJ;Rio de Janeiro;Sudeste;Residencial;09/09/2023;Móvel Controle;49.9;Ativo;41;Masculino;5937;Vendedor_25;
102;Cliente_102;SP;São Paulo;Norte;Residencial;12/12/2023;Móvel Pós;89.9;Ativo;73;Masculino;15774;Vendedor_9;
103;Cliente_103;RS;Porto Alegre;Sul;Residencial;20/04/2023;Fibra 300MB;89.9;Ativo;22;Masculino;10852;Vendedor_46;
104;Cliente_104;RS;Pelotas;Sudeste;Residencial;28/07/2023;Fibra 1GB;159.9;Ativo;43;Outro;17470;Vendedor_36;
105;Cliente_105;PR;Londrina;Sul;Residencial;06/03/2024;Fibra 1GB;159.9;Ativo;35;Feminino;17361;Vendedor_29;
106;Cliente_106;PE;Petrolina;Nordeste;Empresarial;23/05/2023;Fibra 600MB;119.9;Ativo;53;Feminino;18046;Vendedor_10;
107;Cliente_107;MG;Uberlândia;Sudeste;Residencial;15/08/2023;Fibra 1GB;159.9;Ativo;18;Masculino;5774;Vendedor_27;
108;Cliente_108;PR;Maringá;Norte;Residencial;24/06/2022;Fibra 1GB;159.9;Ativo;27;Feminino;13623;Vendedor_19;
109;Cliente_109;CE;Juazeiro do Norte;Sul;Residencial;23/11/2023;Fibra 300MB;89.9;Ativo;34;Masculino;4724;Vendedor_19;
110;Cliente_110;MG;Belo Horizonte;Nordeste;Empresarial;27/02/2024;Fibra 600MB;119.9;Ativo;52;Feminino;9235;Vendedor_20;
111;Cliente_111;SP;São Paulo;Nordeste;Residencial;26/07/2023;Móvel Pós;89.9;Ativo;21;Masculino;9474;Vendedor_29;
112;Cliente_112;MG;Belo Horizonte;Sudeste;Residencial;05/07/2022;Fibra 1GB;159.9;Ativo;61;Masculino;9310;Vendedor_3;
113;Cliente_113;PE;Petrolina;Sudeste;Residencial;10/08/2023;Fibra 1GB;159.9;Ativo;44;Masculino;14246;Vendedor_22;
114;Cliente_114;MG;Belo Horizonte;Centro-Oeste;Empresarial;29/05/2023;Móvel Pós;89.9;Ativo;28;Feminino;7097;Vendedor_22;
115;Cliente_115;SP;Campinas;Centro-Oeste;Empresarial;16/10/2023;Móvel Controle;49.9;Ativo;20;Feminino;15940;Vendedor_29;
116;Cliente_116;PE;Petrolina;Sudeste;Residencial;10/07/2023;Móvel Pós;89.9;Cancelado;45;Masculino;15648;Vendedor_23;28/10/2024
117;Cliente_117;GO;Anápolis;Centro-Oeste;Residencial;22/10/2022;Móvel Pós;89.9;Cancelado;28;Feminino;13754;Vendedor_40;06/04/2024
118;Cliente_118;RS;Pelotas;Norte;Residencial;13/02/2022;Fibra 600MB;119.9;Ativo;20;Feminino;2723;Vendedor_26;
119;Cliente_119;RS;Caxias do Sul;Norte;Residencial;23/06/2023;TV + Fibra;199.9;Ativo;73;Feminino;10369;Vendedor_47;
120;Cliente_120;DF;Brasília;Centro-Oeste;Empresarial;08/02/2022;Móvel Pós;89.9;Ativo;53;Feminino;8371;Vendedor_22;
121;Cliente_121;GO;Anápolis;Sudeste;Residencial;16/10/2022;Fibra 600MB;119.9;Ativo;20;Masculino;12026;Vendedor_38;
122;Cliente_122;GO;Aparecida de Goiânia;Norte;Residencial;05/09/2022;TV + Fibra;199.9;Ativo;42;Feminino;1865;Vendedor_9;
123;Cliente_123;MG;Juiz de Fora;Nordeste;Residencial;25/12/2022;Móvel Pós;89.9;Ativo;29;Masculino;10706;Vendedor_21;
124;Cliente_124;RS;Porto Alegre;Sudeste;Residencial;28/07/2022;Fibra 1GB;159.9;Ativo;29;Masculino;3515;Vendedor_36;
125;Cliente_125;SP;São Paulo;Sul;Residencial;04/05/2022;Fibra 1GB;159.9;Cancelado;66;Feminino;19672;Vendedor_50;12/09/2023
126;Cliente_126;BA;Feira de Santana;Sul;Empresarial;01/09/2024;TV + Fibra;199.9;Ativo;73;Masculino;6719;Vendedor_48;
127;Cliente_127;BA;Feira de Santana;Sudeste;Residencial;07/02/2023;Móvel Controle;49.9;Cancelado;70;Feminino;1910;Vendedor_36;
128;Cliente_128;PE;Olinda;Centro-Oeste;Residencial;11/10/2022;TV + Fibra;199.9;Ativo;49;Masculino;1839;Vendedor_32;
129;Cliente_129;RS;Pelotas;Norte;Residencial;25/10/2023;Móvel Pós;89.9;Ativo;57;Masculino;16118;Vendedor_32;
130;Cliente_130;RS;Pelotas;Norte;Residencial;30/07/2023;Fibra 300MB;89.9;Cancelado;27;Feminino;5584;Vendedor_34;06/12/2023
131;Cliente_131;BA;Salvador;Sudeste;Residencial;29/08/2022;Móvel Pós;89.9;Ativo;65;Feminino;1603;Vendedor_23;
132;Cliente_132;RS;Caxias do Sul;Nordeste;Residencial;16/06/2022;TV + Fibra;199.9;Ativo;36;Feminino;9206;Vendedor_26;
133;Cliente_133;MG;Belo Horizonte;Centro-Oeste;Residencial;15/07/2023;Fibra 300MB;89.9;Cancelado;64;Masculino;4249;Vendedor_16;09/12/2024
134;Cliente_134;CE;Sobral;Nordeste;Governo;28/05/2022;TV + Fibra;199.9;Ativo;71;Feminino;18135;Vendedor_38;
135;Cliente_135;RJ;Volta Redonda;Sudeste;Residencial;02/12/2023;Móvel Pós;89.9;Ativo;60;Masculino;12739;Vendedor_49;
136;Cliente_136;GO;Aparecida de Goiânia;Sudeste;Residencial;15/09/2023;Fibra 600MB;119.9;Ativo;24;Masculino;3031;Vendedor_3;
137;Cliente_137;DF;Brasília;Nordeste;Residencial;22/09/2022;Fibra 1GB;159.9;Ativo;41;Feminino;15887;Vendedor_45;
138;Cliente_138;PE;Recife;Sul;Residencial;16/05/2023;Fibra 300MB;89.9;Ativo;56;Feminino;14255;Vendedor_2;
139;Cliente_139;CE;Sobral;Sudeste;Residencial;06/10/2022;Fibra 300MB;89.9;Ativo;49;Masculino;18641;Vendedor_36;
140;Cliente_140;BA;Feira de Santana;Centro-Oeste;Residencial;19/01/2024;Móvel Pós;89.9;Ativo;40;Masculino;13181;Vendedor_9;
141;Cliente_141;GO;Goiânia;Nordeste;Residencial;21/06/2024;Fibra 1GB;159.9;Cancelado;67;Feminino;6386;Vendedor_28;
142;Cliente_142;RS;Pelotas;Sul;Empresarial;08/06/2022;Móvel Controle;49.9;Cancelado;36;Feminino;2414;Vendedor_24;26/07/2022
143;Cliente_143;DF;Brasília;Nordeste;Residencial;19/12/2024;Fibra 300MB;89.9;Ativo;65;Masculino;7763;Vendedor_49;
144;Cliente_144;RS;Porto Alegre;Sul;Residencial;14/05/2023;Fibra 1GB;159.9;Ativo;71;Feminino;7636;Vendedor_45;
145;Cliente_145;SP;São Paulo;Sul;Empresarial;03/05/2023;Fibra 1GB;159.9;Ativo;20;Masculino;9305;Vendedor_28;
146;Cliente_146;SP;Santos;Centro-Oeste;Residencial;10/04/2023;Fibra 300MB;89.9;Ativo;42;Masculino;9876;Vendedor_7;
147;Cliente_147;DF;Brasília;Sudeste;Residencial;16/08/2022;Fibra 600MB;119.9;Cancelado;42;Masculino;19057;Vendedor_26;09/07/2024
148;Cliente_148;DF;Brasília;Sul;Residencial;28/10/2023;TV + Fibra;199.9;Ativo;23;Masculino;7046;Vendedor_46;
149;Cliente_149;BA;Vitória da Conquista;Sudeste;Empresarial;01/04/2024;Fibra 600MB;119.9;Ativo;50;Masculino;9124;Vendedor_1;
150;Cliente_150;DF;Brasília;Centro-Oeste;Residencial;09/03/2024;Móvel Pós;89.9;Ativo;50;Masculino;12487;Vendedor_41;
151;Cliente_151;MG;Belo Horizonte;Sudeste;Residencial;23/01/2024;TV + Fibra;199.9;Ativo;32;Masculino;2914;Vendedor_45;
152;Cliente_152;RS;Porto Alegre;Norte;Empresarial;19/09/2022;TV + Fibra;199.9;Ativo;37;Feminino;7499;Vendedor_41;
153;Cliente_153;CE;Sobral;Sul;Residencial;09/05/2024;Móvel Pós;89.9;Ativo;60;Feminino;1776;Vendedor_35;
154;Cliente_154;PR;Londrina;Centro-Oeste;Empresarial;30/12/2022;Fibra 1GB;159.9;Ativo;59;Masculino;13334;Vendedor_18;
155;Cliente_155;DF;Brasília;Nordeste;Empresarial;08/04/2022;Fibra 300MB;89.9;Ativo;49;Masculino;14372;Vendedor_22;
156;Cliente_156;PE;Recife;Centro-Oeste;Residencial;01/11/2024;Fibra 600MB;119.9;Ativo;41;Masculino;1750;Vendedor_13;
157;Cliente_157;SP;São Paulo;Sul;Empresarial;23/02/2024;Fibra 1GB;159.9;Ativo;20;Feminino;1614;Vendedor_16;
158;Cliente_158;MG;Uberlândia;Centro-Oeste;Empresarial;06/08/2023;Fibra 600MB;119.9;Cancelado;21;Feminino;15207;Vendedor_47;
159;Cliente_159;GO;Aparecida de Goiânia;Nordeste;Empresarial;15/07/2024;Fibra 300MB;89.9;Ativo;61;Feminino;15303;Vendedor_29;
160;Cliente_160;PR;Maringá;Norte;Residencial;15/05/2022;Fibra 600MB;119.9;Ativo;23;Masculino;15423;Vendedor_21;
161;Cliente_161;CE;Juazeiro do Norte;Sul;Empresarial;16/09/2022;Móvel Controle;49.9;Ativo;74;Masculino;13348;Vendedor_42;
162;Cliente_162;PR;Maringá;Sul;Residencial;04/07/2024;Móvel Pós;89.9;Ativo;69;Masculino;7781;Vendedor_9;
163;Cliente_163;DF;Brasília;Centro-Oeste;Empresarial;01/06/2023;TV + Fibra;199.9;Ativo;36;Masculino;14412;Vendedor_29;
164;Cliente_164;BA;Vitória da Conquista;Sudeste;Residencial;31/05/2022;Fibra 600MB;119.9;Ativo;43;Feminino;16421;Vendedor_12;
165;Cliente_165;SP;São Paulo;Sudeste;Residencial;17/05/2024;Fibra 300MB;89.9;Cancelado;65;Feminino;13511;Vendedor_8;
166;Cliente_166;SP;São Paulo;Nordeste;Residencial;31/08/2024;Fibra 300MB;89.9;Cancelado;42;Feminino;8219;Vendedor_10;
167;Cliente_167;GO;Goiânia;Norte;Residencial;22/05/2022;Móvel Controle;49.9;Ativo;72;Feminino;5227;Vendedor_34;
168;Cliente_168;BA;Feira de Santana;Norte;Residencial;08/09/2022;Fibra 300MB;89.9;Ativo;42;Masculino;3019;Vendedor_47;
169;Cliente_169;RS;Pelotas;Centro-Oeste;Residencial;15/08/2024;Móvel Controle;49.9;Ativo;27;Feminino;14399;Vendedor_20;
170;Cliente_170;RJ;Volta Redonda;Centro-Oeste;Residencial;25/06/2024;Fibra 1GB;159.9;Ativo;55;Feminino;18499;Vendedor_16;
171;Cliente_171;MG;Belo Horizonte;Sudeste;Residencial;06/10/2023;Fibra 600MB;119.9;Ativo;37;Masculino;5092;Vendedor_42;
172;Cliente_172;SP;São Paulo;Norte;Residencial;06/12/2024;Fibra 300MB;89.9;Ativo;22;Feminino;14613;Vendedor_45;
173;Cliente_173;PE;Olinda;Norte;Residencial;04/04/2022;Móvel Pós;89.9;Ativo;59;Feminino;18647;Vendedor_11;
174;Cliente_174;SP;Santos;Norte;Empresarial;31/01/2024;Fibra 600MB;119.9;Cancelado;61;Masculino;2945;Vendedor_48;
175;Cliente_175;PR;Londrina;Nordeste;Residencial;22/12/2022;Móvel Controle;49.9;Ativo;67;Masculino;6649;Vendedor_14;
176;Cliente_176;SP;Santos;Nordeste;Residencial;16/06/2023;Fibra 600MB;119.9;Ativo;52;Masculino;9641;Vendedor_31;
177;Cliente_177;SP;Campinas;Centro-Oeste;Residencial;23/11/2023;Fibra 600MB;119.9;Ativo;22;Masculino;3917;Vendedor_40;
178;Cliente_178;RJ;Rio de Janeiro;Sudeste;Empresarial;10/10/2023;Fibra 300MB;89.9;Cancelado;52;Masculino;2424;Vendedor_34;
179;Cliente_179;RJ;Niterói;Sul;Residencial;03/12/2023;Móvel Pós;89.9;Ativo;20;Feminino;3255;Vendedor_4;
180;Cliente_180;CE;Juazeiro do Norte;Sudeste;Residencial;25/12/2023;Fibra 1GB;159.9;Cancelado;58;Feminino;10865;Vendedor_50;
181;Cliente_181;RS;Porto Alegre;Nordeste;Residencial;05/07/2024;Móvel Pós;89.9;Cancelado;49;Masculino;9466;Vendedor_48;
182;Cliente_182;PE;Petrolina;Nordeste;Governo;05/03/2022;TV + Fibra;199.9;Cancelado;53;Masculino;15532;Vendedor_7;08/11/2023
183;Cliente_183;SP;Santos;Centro-Oeste;Residencial;14/07/2024;Móvel Controle;49.9;Ativo;47;Feminino;6235;Vendedor_42;
184;Cliente_184;SP;São Paulo;Sul;Empresarial;28/12/2023;TV + Fibra;199.9;Ativo;69;Masculino;19436;Vendedor_38;
185;Cliente_185;MG;Uberlândia;Norte;Residencial;05/02/2024;Móvel Pós;89.9;Cancelado;66;Masculino;7500;Vendedor_1;22/06/2024
186;Cliente_186;RJ;Niterói;Sul;Empresarial;11/07/2024;Móvel Pós;89.9;Cancelado;56;Feminino;7768;Vendedor_50;
187;Cliente_187;PE;Olinda;Sul;Residencial;15/10/2023;Móvel Controle;49.9;Ativo;46;Masculino;8721;Vendedor_46;
