id_cliente;nome_cliente;estado;cidade;segmento;plano;status;idade;genero;renda_estimada;vendedor
10073;ClienteNovo_73;PE;Olinda;Residencial;Fibra 600MB;Ativo;32;Masculino;12316;Vendedor_28
10074;ClienteNovo_74;CE;Fortaleza;Residencial;Fibra 600MB;Ativo;62;Masculino;4506;Vendedor_17
10075;ClienteNovo_75;GO;Aparecida de Goiânia;Residencial;TV + Fibra;Ativo;29;Feminino;8954;Vendedor_46
10076;ClienteNovo_76;MG;Uberlândia;Residencial;Móvel Controle;Ativo;56;Masculino;9905;Vendedor_19
10077;ClienteNovo_77;RJ;Rio de Janeiro;Governo;TV + Fibra;Ativo;23;Feminino;7293;Vendedor_25
10078;ClienteNovo_78;PR;Curitiba;Residencial;TV + Fibra;Ativo;59;Feminino;2063;Vendedor_40
10079;ClienteNovo_79;DF;Brasília;Residencial;Móvel Controle;Ativo;18;Feminino;5766;Vendedor_42
10080;ClienteNovo_80;RJ;Volta Redonda;Empresarial;Fibra 1GB;Ativo;26;Feminino;11768;Vendedor_46
10081;ClienteNovo_81;MG;Belo Horizonte;Empresarial;TV + Fibra;Ativo;38;Masculino;9073;Vendedor_23
10082;ClienteNovo_82;CE;Fortaleza;Residencial;Fibra 1GB;Ativo;61;Masculino;3006;Vendedor_19
10083;ClienteNovo_83;PE;Petrolina;Residencial;Móvel Pós;Ativo;18;Masculino;13527;Vendedor_16
10084;ClienteNovo_84;PR;Curitiba;Residencial;Fibra 600MB;Ativo;40;Masculino;19115;Vendedor_25
10085;ClienteNovo_85;PE;Recife;Residencial;Móvel Pós;Ativo;36;Feminino;17850;Vendedor_17
10086;ClienteNovo_86;DF;Brasília;Empresarial;Móvel Controle;Ativo;51;Masculino;12158;Vendedor_13
10087;ClienteNovo_87;SP;São Paulo;Residencial;Fibra 600MB;Ativo;29;Masculino;18706;Vendedor_9
10088;ClienteNovo_88;CE;Fortaleza;Empresarial;Fibra 600MB;Ativo;71;Masculino;16293;Vendedor_28
10089;ClienteNovo_89;RS;Pelotas;Empresarial;Fibra 600MB;Ativo;27;Masculino;9095;Vendedor_31
10090;ClienteNovo_90;RJ;Volta Redonda;Residencial;Móvel Controle;Ativo;35;Feminino;5089;Vendedor_7
10091;ClienteNovo_91;CE;Sobral;Residencial;Fibra 300MB;Ativo;39;Masculino;16103;Vendedor_7
10092;ClienteNovo_92;SP;Campinas;Residencial;TV + Fibra;Ativo;25;Masculino;13255;Vendedor_46
10093;ClienteNovo_93;MG;Belo Horizonte;Residencial;Móvel Pós;Ativo;55;Feminino;17173;Vendedor_36
10094;ClienteNovo_94;RJ;Rio de Janeiro;Empresarial;Fibra 1GB;Ativo;27;Feminino;13306;Vendedor_9
10095;ClienteNovo_95;RS;Caxias do Sul;Residencial;Fibra 1GB;Ativo;60;Masculino;2770;Vendedor_19
10096;ClienteNovo_96;DF;Brasília;Residencial;TV + Fibra;Ativo;31;Masculino;11355;Vendedor_12
10097;ClienteNovo_97;MG;Uberlândia;Residencial;Fibra 300MB;Ativo;36;Feminino;8109;Vendedor_36
10098;ClienteNovo_98;MG;Uberlândia;Residencial;Fibra 600MB;Ativo;25;Masculino;16623;Vendedor_27
10099;ClienteNovo_99;DF;Brasília;Governo;Fibra 1GB;Ativo;20;Feminino;14276;Vendedor_34
10100;ClienteNovo_100;DF;Brasília;Residencial;Móvel Controle;Ativo;19;Feminino;10669;Vendedor_26
10101;ClienteNovo_101;PR;Curitiba;Residencial;Fibra 600MB;Ativo;36;Feminino;7544;Vendedor_38
10102;ClienteNovo_102;MG;Uberlândia;Residencial;TV + Fibra;Ativo;22;Feminino;15823;Vendedor_22
10103;ClienteNovo_103;GO;Aparecida de Goiânia;Governo;Móvel Controle;Ativo;73;Masculino;18380;Vendedor_21
10104;ClienteNovo_104;CE;Juazeiro do Norte;Residencial;Móvel Pós;Ativo;27;Masculino;19188;Vendedor_7
10105;ClienteNovo_105;BA;Vitória da Conquista;Residencial;TV + Fibra;Ativo;46;Masculino;16319;Vendedor_38
10106;ClienteNovo_106;CE;Juazeiro do Norte;Residencial;Fibra 600MB;Ativo;50;Masculino;5095;Vendedor_7
10107;ClienteNovo_107;PR;Maringá;Residencial;Móvel Controle;Ativo;65;Masculino;2531;Vendedor_31
10108;ClienteNovo_108;PE;Recife;Governo;Fibra 300MB;Ativo;32;Feminino;18842;Vendedor_37
10109;ClienteNovo_109;BA;Salvador;Residencial;Fibra 300MB;Ativo;23;Feminino;9502;Vendedor_44
10110;ClienteNovo_110;GO;Aparecida de Goiânia;Residencial;Fibra 1GB;Ativo;29;Feminino;11708;Vendedor_14
10111;ClienteNovo_111;RJ;Volta Redonda;Residencial;Móvel Pós;Ativo;26;Masculino;3608;Vendedor_32
10112;ClienteNovo_112;SP;Campinas;Residencial;Fibra 600MB;Ativo;73;Masculino;19779;Vendedor_26
10113;ClienteNovo_113;SP;Santos;Residencial;Móvel Pós;Ativo;67;Masculino;18607;Vendedor_8
10114;ClienteNovo_114;DF;Brasília;Governo;Móvel Pós;Ativo;73;Masculino;2679;Vendedor_14
10115;ClienteNovo_115;DF;Brasília;Residencial;Móvel Pós;Ativo;23;Masculino;18767;Vendedor_15
10116;ClienteNovo_116;GO;Goiânia;Residencial;Fibra 600MB;Ativo;38;Feminino;4283;Vendedor_17
10117;ClienteNovo_117;RJ;Rio de Janeiro;Residencial;Móvel Pós;Ativo;61;Feminino;11673;Vendedor_18
10118;ClienteNovo_118;SP;São Paulo;Residencial;Fibra 1GB;Ativo;47;Masculino;12639;Vendedor_48
10119;ClienteNovo_119;CE;Juazeiro do Norte;Empresarial;Fibra 300MB;Ativo;35;Masculino;4969;Vendedor_26
10120;ClienteNovo_120;PE;Olinda;Residencial;Fibra 600MB;Ativo;51;Feminino;8281;Vendedor_16
10121;ClienteNovo_121;RJ;Niterói;Empresarial;Fibra 1GB;Ativo;33;Masculino;13923;Vendedor_38
10122;ClienteNovo_122;PE;Petrolina;Residencial;Fibra 1GB;Ativo;64;Masculino;17342;Vendedor_38
10123;ClienteNovo_123;RJ;Volta Redonda;Residencial;Móvel Controle;Ativo;28;Feminino;14236;Vendedor_5
10124;ClienteNovo_124;RJ;Niterói;Empresarial;Fibra 1GB;Ativo;39;Feminino;10025;Vendedor_37
10125;ClienteNovo_125;RS;Pelotas;Empresarial;Móvel Pós;Ativo;19;Feminino;3131;Vendedor_18
10126;ClienteNovo_126;PR;Londrina;Residencial;Fibra 300MB;Ativo;18;Masculino;4288;Vendedor_40
10127;ClienteNovo_127;DF;Brasília;Empresarial;Móvel Pós;Ativo;54;Masculino;2247;Vendedor_32
10128;ClienteNovo_128;PE;Olinda;Residencial;Móvel Pós;Ativo;56;Feminino;5815;Vendedor_15
10129;ClienteNovo_129;PE;Petrolina;Residencial;Fibra 1GB;Ativo;48;Feminino;15487;Vendedor_26
10130;ClienteNovo_130;PR;Curitiba;Residencial;Fibra 600MB;Ativo;22;Masculino;4924;Vendedor_42
10131;ClienteNovo_131;SP;Santos;Residencial;Fibra 600MB;Ativo;52;Outro;5359;Vendedor_3
10132;ClienteNovo_132;PE;Olinda;Residencial;TV + Fibra;Ativo;19;Masculino;10139;Vendedor_50
10133;ClienteNovo_133;DF;Brasília;Empresarial;Fibra 300MB;Ativo;68;Masculino;10558;Vendedor_1
10134;ClienteNovo_134;BA;Feira de Santana;Residencial;Móvel Controle;Ativo;39;Outro;9600;Vendedor_17
10135;ClienteNovo_135;BA;Salvador;Empresarial;Móvel Pós;Ativo;73;Feminino;4889;Vendedor_10
10136;ClienteNovo_136;DF;Brasília;Residencial;Fibra 600MB;Ativo;39;Masculino;3494;Vendedor_15
10137;ClienteNovo_137;RS;Pelotas;Residencial;Fibra 1GB;Ativo;47;Feminino;7003;Vendedor_38
10138;ClienteNovo_138;RJ;Niterói;Empresarial;Móvel Pós;Ativo;74;Masculino;19076;Vendedor_45
10139;ClienteNovo_139;RJ;Rio de Janeiro;Residencial;Móvel Pós;Ativo;42;Masculino;14672;Vendedor_3
10140;ClienteNovo_140;PR;Maringá;Residencial;TV + Fibra;Ativo;52;Feminino;10966;Vendedor_44
10141;ClienteNovo_141;BA;Vitória da Conquista;Residencial;Móvel Controle;Ativo;56;Masculino;4690;Vendedor_17
10142;ClienteNovo_142;GO;Aparecida de Goiânia;Residencial;Móvel Pós;Ativo;41;Feminino;17112;Vendedor_5
10143;ClienteNovo_143;PE;Olinda;Empresarial;Móvel Controle;Ativo;52;Masculino;19837;Vendedor_49
10144;ClienteNovo_144;SP;Campinas;Empresarial;Fibra 600MB;Ativo;63;Masculino;16131;Vendedor_30
10145;ClienteNovo_145;BA;Salvador;Residencial;TV + Fibra;Ativo;64;Masculino;14276;Vendedor_45
10146;ClienteNovo_146;CE;Fortaleza;Empresarial;Fibra 600MB;Ativo;38;Feminino;10229;Vendedor_48
10147;ClienteNovo_147;RS;Pelotas;Residencial;TV + Fibra;Ativo;52;Feminino;8868;Vendedor_20
10148;ClienteNovo_148;CE;Fortaleza;Residencial;Móvel Pós;Ativo;72;Feminino;18830;Vendedor_17
10149;ClienteNovo_149;RJ;Niterói;Residencial;Móvel Pós;Ativo;70;Feminino;2456;Vendedor_10
10150;ClienteNovo_150;RS;Caxias do Sul;Residencial;Móvel Controle;Ativo;50;Masculino;4532;Vendedor_5
10151;ClienteNovo_151;BA;Feira de Santana;Empresarial;Fibra 1GB;Ativo;50;Masculino;12742;Vendedor_6
10152;ClienteNovo_152;RS;Caxias do Sul;Empresarial;TV + Fibra;Ativo;26;Masculino;9031;Vendedor_27
10153;ClienteNovo_153;GO;Goiânia;Residencial;Móvel Pós;Ativo;54;Masculino;12709;Vendedor_41
10154;ClienteNovo_154;RJ;Niterói;Empresarial;Móvel Controle;Ativo;43;Masculino;16024;Vendedor_23
10155;ClienteNovo_155;MG;Uberlândia;Residencial;Fibra 300MB;Ativo;19;Feminino;12798;Vendedor_31
10156;ClienteNovo_156;PE;Recife;Empresarial;Móvel Controle;Ativo;61;Feminino;4162;Vendedor_17
10157;ClienteNovo_157;BA;Feira de Santana;Residencial;Móvel Pós;Ativo;37;Masculino;8702;Vendedor_47
10158;ClienteNovo_158;PE;Petrolina;Residencial;TV + Fibra;Ativo;63;Feminino;8855;Vendedor_6
10159;ClienteNovo_159;GO;Goiânia;Empresarial;TV + Fibra;Ativo;22;Outro;11038;Vendedor_38
10160;ClienteNovo_160;GO;Anápolis;Residencial;TV + Fibra;Ativo;60;Feminino;2144;Vendedor_39
10161;ClienteNovo_161;BA;Salvador;Empresarial;Móvel Pós;Ativo;42;Feminino;6167;Vendedor_1
10162;ClienteNovo_162;MG;Uberlândia;Residencial;Fibra 300MB;Ativo;35;Masculino;3991;Vendedor_44
10163;ClienteNovo_163;PE;Petrolina;Residencial;TV + Fibra;Ativo;53;Masculino;9464;Vendedor_37
10164;ClienteNovo_164;MG;Uberlândia;Residencial;Fibra 600MB;Ativo;73;Masculino;14800;Vendedor_12
10165;ClienteNovo_165;RS;Pelotas;Empresarial;TV + Fibra;Ativo;33;Feminino;7374;Vendedor_5
10166;ClienteNovo_166;PE;Petrolina;Governo;Fibra 600MB;Ativo;20;Masculino;18055;Vendedor_3
10167;ClienteNovo_167;PE;Petrolina;Residencial;Fibra 300MB;Ativo;67;Masculino;4821;Vendedor_39
10168;ClienteNovo_168;DF;Brasília;Empresarial;TV + Fibra;Ativo;36;Masculino;3773;Vendedor_3
10169;ClienteNovo_169;PE;Recife;Residencial;Móvel Pós;Ativo;65;Masculino;19089;Vendedor_4
10170;ClienteNovo_170;PE;Petrolina;Residencial;Móvel Controle;Ativo;56;Feminino;18323;Vendedor_5
10171;ClienteNovo_171;SP;Santos;Residencial;Fibra 1GB;Ativo;47;Feminino;7299;Vendedor_42
10172;ClienteNovo_172;MG;Juiz de Fora;Residencial;TV + Fibra;Ativo;26;Masculino;4465;Vendedor_23
10173;ClienteNovo_173;SP;São Paulo;Residencial;Fibra 300MB;Ativo;70;Masculino;15402;Vendedor_36
10174;ClienteNovo_174;CE;Sobral;Residencial;Fibra 300MB;Ativo;19;Masculino;9367;Vendedor_40
10175;ClienteNovo_175;RJ;Volta Redonda;Residencial;Móvel Controle;Ativo;60;Masculino;5837;Vendedor_9
10176;ClienteNovo_176;PE;Olinda;Governo;Fibra 1GB;Ativo;63;Feminino;10289;Vendedor_44
10177;ClienteNovo_177;DF;Brasília;Residencial;TV + Fibra;Ativo;40;Feminino;2772;Vendedor_16
10178;ClienteNovo_178;CE;Sobral;Empresarial;Fibra 1GB;Ativo;52;Feminino;7863;Vendedor_31
10179;ClienteNovo_179;RS;Porto Alegre;Residencial;TV + Fibra;Ativo;24;Masculino;10237;Vendedor_20
10180;ClienteNovo_180;DF;Brasília;Empresarial;Móvel Pós;Ativo;23;Feminino;8310;Vendedor_32
10181;ClienteNovo_181;CE;Juazeiro do Norte;Residencial;Fibra 300MB;Ativo;18;Masculino;1784;Vendedor_29
10182;ClienteNovo_182;RS;Porto Alegre;Residencial;TV + Fibra;Ativo;63;Feminino;4328;Vendedor_42
10183;ClienteNovo_183;MG;Uberlândia;Empresarial;TV + Fibra;Ativo;59;Outro;14677;Vendedor_50
10184;ClienteNovo_184;BA;Vitória da Conquista;Governo;Móvel Controle;Ativo;46;Outro;18448;Vendedor_48
10185;ClienteNovo_185;MG;Juiz de Fora;Empresarial;Fibra 600MB;Ativo;22;Feminino;2853;Vendedor_10
10186;ClienteNovo_186;CE;Sobral;Governo;TV + Fibra;Ativo;30;Masculino;8285;Vendedor_49
10187;ClienteNovo_187;PE;Petrolina;Residencial;Fibra 600MB;Ativo;32;Feminino;1981;Vendedor_37
10188;ClienteNovo_188;SP;São Paulo;Residencial;Fibra 600MB;Ativo;18;Masculino;7467;Vendedor_26
10189;ClienteNovo_189;GO;Aparecida de Goiânia;Empresarial;Móvel Controle;Ativo;40;Feminino;8061;Vendedor_6
10190;ClienteNovo_190;GO;Anápolis;Residencial;Fibra 600MB;Ativo;60;Masculino;17713;Vendedor_10
10191;ClienteNovo_191;RS;Pelotas;Empresarial;Móvel Pós;Ativo;71;Feminino;6488;Vendedor_18
10192;ClienteNovo_192;RJ;Rio de Janeiro;Empresarial;Fibra 1GB;Ativo;30;Masculino;6933;Vendedor_49
10193;ClienteNovo_193;PE;Recife;Residencial;Fibra 600MB;Ativo;58;Masculino;3013;Vendedor_15
10194;ClienteNovo_194;DF;Brasília;Empresarial;Móvel Controle;Ativo;28;Masculino;9244;Vendedor_21
10195;ClienteNovo_195;BA;Vitória da Conquista;Residencial;Móvel Controle;Ativo;29;Masculino;4644;Vendedor_48
10196;ClienteNovo_196;CE;Sobral;Residencial;Fibra 600MB;Ativo;48;Feminino;10865;Vendedor_12
10197;ClienteNovo_197;BA;Vitória da Conquista;Empresarial;Fibra 1GB;Ativo;37;Feminino;19286;Vendedor_14
10198;ClienteNovo_198;RS;Porto Alegre;Residencial;Fibra 1GB;Ativo;26;Masculino;10810;Vendedor_34
10199;ClienteNovo_199;DF;Brasília;Residencial;Móvel Pós;Ativo;38;Masculino;12140;Vendedor_22
10200;ClienteNovo_200;CE;Fortaleza;Governo;Móvel Pós;Ativo;30;Masculino;10347;Vendedor_25
10201;ClienteNovo_201;GO;Anápolis;Residencial;Fibra 600MB;Ativo;22;Masculino;3986;Vendedor_33
10202;ClienteNovo_202;GO;Aparecida de Goiânia;Residencial;TV + Fibra;Ativo;54;Feminino;10630;Vendedor_36
10203;ClienteNovo_203;MG;Belo Horizonte;Empresarial;Móvel Pós;Ativo;46;Masculino;2448;Vendedor_1
10204;ClienteNovo_204;PR;Maringá;Empresarial;Fibra 600MB;Ativo;47;Masculino;10519;Vendedor_6
10205;ClienteNovo_205;DF;Brasília;Residencial;Móvel Pós;Ativo;59;Masculino;15924;Vendedor_20
10206;ClienteNovo_206;SP;Santos;Residencial;Móvel Pós;Ativo;54;Feminino;8878;Vendedor_6
10207;ClienteNovo_207;PR;Londrina;Residencial;Móvel Controle;Ativo;28;Outro;13663;Vendedor_27
10208;ClienteNovo_208;CE;Juazeiro do Norte;Empresarial;Fibra 300MB;Ativo;72;Masculino;3978;Vendedor_11
10209;ClienteNovo_209;SP;São Paulo;Empresarial;Fibra 600MB;Ativo;49;Feminino;7890;Vendedor_24
10210;ClienteNovo_210;DF;Brasília;Empresarial;Fibra 600MB;Ativo;66;Feminino;7679;Vendedor_45
10211;ClienteNovo_211;SP;Campinas;Empresarial;Fibra 600MB;Ativo;47;Masculino;15857;Vendedor_41
10212;ClienteNovo_212;PR;Curitiba;Residencial;Móvel Controle;Ativo;43;Masculino;7278;Vendedor_20
10213;ClienteNovo_213;SP;Santos;Residencial;Móvel Pós;Ativo;72;Masculino;15834;Vendedor_23
10214;ClienteNovo_214;PR;Curitiba;Empresarial;TV + Fibra;Ativo;56;Masculino;8678;Vendedor_5
10215;ClienteNovo_215;RJ;Niterói;Residencial;Fibra 600MB;Ativo;22;Masculino;17820;Vendedor_49
10216;ClienteNovo_216;RJ;Rio de Janeiro;Residencial;Fibra 600MB;Ativo;52;Masculino;12507;Vendedor_31
10217;ClienteNovo_217;GO;Aparecida de Goiânia;Empresarial;Móvel Pós;Ativo;56;Feminino;5578;Vendedor_3
10218;ClienteNovo_218;PR;Maringá;Residencial;Fibra 1GB;Ativo;22;Feminino;8170;Vendedor_31
10219;ClienteNovo_219;BA;Vitória da Conquista;Empresarial;Fibra 600MB;Ativo;21;Feminino;3178;Vendedor_29
10220;ClienteNovo_220;RS;Porto Alegre;Empresarial;Fibra 600MB;Ativo;58;Feminino;7494;Vendedor_34
10221;ClienteNovo_221;GO;Aparecida de Goiânia;Residencial;TV + Fibra;Ativo;69;Feminino;7725;Vendedor_31
10222;ClienteNovo_222;GO;Anápolis;Residencial;TV + Fibra;Ativo;22;Feminino;5925;Vendedor_13
10223;ClienteNovo_223;GO;Goiânia;Empresarial;Fibra 300MB;Ativo;29;Feminino;15022;Vendedor_44
10224;ClienteNovo_224;PE;Recife;Residencial;Fibra 600MB;Ativo;23;Masculino;6220;Vendedor_47
10225;ClienteNovo_225;RJ;Volta Redonda;Residencial;Móvel Controle;Ativo;47;Feminino;17686;Vendedor_46
10226;ClienteNovo_226;RJ;Niterói;Residencial;Fibra 1GB;Ativo;60;Feminino;18840;Vendedor_23
10227;ClienteNovo_227;PR;Curitiba;Residencial;Fibra 1GB;Ativo;55;Feminino;2853;Vendedor_11
10228;ClienteNovo_228;MG;Belo Horizonte;Empresarial;TV + Fibra;Ativo;67;Feminino;11062;Vendedor_25
10229;ClienteNovo_229;GO;Goiânia;Residencial;Móvel Pós;Ativo;60;Masculino;7500;Vendedor_30
10230;ClienteNovo_230;PR;Maringá;Residencial;TV + Fibra;Ativo;68;Masculino;16372;Vendedor_17
10231;ClienteNovo_231;MG;Uberlândia;Residencial;Fibra 600MB;Ativo;25;Feminino;7966;Vendedor_48
10232;ClienteNovo_232;PE;Recife;Residencial;Fibra 1GB;Ativo;26;Masculino;14717;Vendedor_21
10233;ClienteNovo_233;MG;Uberlândia;Residencial;Móvel Controle;Ativo;23;Masculino;6076;Vendedor_2
10234;ClienteNovo_234;SP;Santos;Residencial;Fibra 300MB;Ativo;34;Outro;9829;Vendedor_16
